,name,citi id,humidity,cloudiness,windspeed,latitude,temperature
0,Anqiu,1817990,61,50,5.82,36.43,50.54
1,Calauan,1720466,88,90,2.24,14.09,77.54
2,Turmeque,3666562,56,73,6.4,5.32,66.27
3,Krasna Lipa,3072889,81,75,6.93,50.91,45.03
4,Nueva Rosita,3994667,63,99,20.65,27.95,78.13
5,Cesano Boscone,6534280,93,40,2.24,45.44,48.33
6,Cessnock,7839710,27,0,6.76,-32.89,68.43
7,Petrovice u Karvine,3068345,70,7,10.29,49.9,45.61
8,Meilhaud,2994744,87,75,3.36,45.55,46.4
9,Hagnaya,1711991,81,84,9.6,11.09,78.26
10,Newport Pagnell,2641591,93,93,6.93,52.09,44.71
11,Piquillin,3841035,47,90,13.94,-31.3,76.08
12,Boulder County,5574999,39,20,16.11,40.08,50.54
13,Miaoxi,1800560,59,99,1.21,30.78,62.47
14,Kosamphi Nakhon,7510881,93,17,0.43,16.63,73.29
15,Andacollo,3899680,67,0,16.11,-30.23,76.44
16,San Martin de Pusa,2511289,64,36,3.0,39.78,56.17
17,Dayingjie,6824706,90,1,1.66,24.31,50.74
18,Wieprz,3082192,81,0,2.24,49.89,45.09
19,Jedlinsk,770165,66,75,5.99,51.51,47.75
20,Wręczyca Wielka,7531771,75,5,8.05,50.84,45.05
21,Tigard,5756758,81,75,4.7,45.43,45.27
22,West Branch,4881274,58,1,12.75,41.67,53.04
23,Oldřichovice,3069067,81,75,4.7,49.99,45.5
24,Koge,2618415,80,84,2.77,55.46,38.77
25,Shirochanka,494249,68,21,7.34,46.65,58.73
26,Otse,933184,18,0,6.93,-25.02,87.8
27,Altenberge,2957828,93,77,2.24,52.82,42.67
28,Distrikt Brokopondo,3384481,47,24,6.91,4.75,90.97
29,Dolní Liboc,3076793,87,75,8.05,50.08,45.39
30,Nevele,2790236,93,75,2.24,51.06,47.32
31,Uhyst am Taucher,2820313,81,75,6.93,51.2,45.66
32,Cachoeirinha,3468403,44,0,12.75,-29.95,77.43
33,Bridgewater,5083803,36,40,10.29,43.64,45.57
34,Rappweiler,2850315,93,90,3.36,49.55,47.03
35,Loma de La Virgen,3753611,91,37,5.32,8.59,57.6
36,Bulgneville,3029580,93,100,6.93,48.21,46.76
37,Sea Cliff,5137484,34,1,10.29,40.85,53.11
38,Mmabatho,975436,22,0,8.05,-25.85,80.6
39,Vattalkundu,1253352,78,20,2.24,10.17,82.4
40,Collado de Contreras,6355670,76,75,10.29,40.88,45.48
41,Lechón,6362827,44,26,4.7,41.09,50.9
42,Ban Don Muang,1603786,79,90,3.56,17.38,68.76
43,Valdeolmos,3106843,44,40,10.29,40.64,53.64
44,Ayacucho,3436221,33,0,8.99,-37.15,84.94
45,Grosseto,3175786,82,20,2.24,42.77,57.18
46,Campotejar,2520401,58,40,6.93,37.48,52.74
47,Wiedemar,2809628,87,100,4.7,51.47,46.69
48,Repentigny,6119518,38,40,31.09,45.74,39.61
49,Landen,4516248,40,75,8.05,39.31,51.91
50,Bahlingen,2953276,76,80,6.93,48.12,48.29
51,Paola,4276956,72,1,4.7,38.57,60.94
52,Martinroda,2873140,87,75,6.93,50.8,45.46
53,Várzea do Poço,3445453,27,40,6.29,-11.53,91.27
54,Ampezzo,3183105,93,75,10.29,46.41,49.28
55,Araal,1730279,94,89,8.52,10.42,73.42
56,Ngelak,8060698,67,66,9.75,-6.69,81.09
57,Vigliano Biellese,3164368,100,40,3.36,45.56,49.08
58,Saint-Gatien-des-Bois,2980046,93,75,5.82,49.35,48.27
59,Zhongfan,1784463,55,86,1.28,28.54,61.25
60,Tiefenbach,2822436,100,75,3.42,49.18,44.42
61,Kanghwa,1843163,100,75,1.12,37.75,46.04
62,Facaeni,678513,63,92,12.75,44.57,64.04
63,Shirbin,349114,78,0,16.11,31.2,77.0
64,Vaz/Obervaz,7287424,100,75,7.11,46.73,36.23
65,Wenquan,1791440,62,93,3.27,30.85,55.35
66,Meisenburg,2872176,100,91,1.12,51.38,44.69
67,Jomboy,1217414,80,0,6.93,39.7,35.6
68,Tramelan,2658331,87,90,3.36,47.22,43.72
69,Sumberagung,8080468,75,51,5.41,-6.89,77.2
70,Bagacay,1729304,74,90,14.99,9.87,80.6
71,Waasmunster,2784231,93,75,2.24,51.11,47.82
72,Templeoran,3313943,93,75,5.82,53.4,43.32
73,Dikili,316726,73,20,9.17,39.07,69.17
74,Krzeszow,767283,93,1,4.7,50.4,43.32
75,Henggang,1808494,48,100,2.93,29.56,61.07
76,Beklemishevo,578272,100,75,4.47,56.21,50.5
77,Buryn,711116,73,91,14.7,51.2,58.46
78,Blenheim,2175332,87,0,2.53,-27.67,55.71
79,Shigony,494531,87,99,16.67,53.39,51.01
80,Gzira,2562946,72,20,14.99,35.91,65.7
81,Gamovo,562070,93,75,17.9,57.87,46.4
82,Mengcheng Chengguanzhen,1800764,48,100,2.59,33.27,57.43
83,Cinzano,3178662,93,75,2.24,45.09,48.06
84,Durnkrut,2780607,87,24,1.12,48.47,47.48
85,Pangdan,1695324,86,41,1.77,11.74,75.54
86,Calbayog City,1720400,77,8,17.76,12.07,82.42
87,Garbolovo,561999,68,100,11.18,60.34,28.18
88,Ofen,3208244,93,20,3.36,53.17,43.21
89,Ocauçu,3456034,69,75,11.41,-22.44,78.8
90,Morton,2156849,25,75,33.33,-35.4,64.67
91,Rulong,1797039,53,18,2.86,30.94,16.48
92,Roussillac,3573822,70,20,11.41,10.22,84.36
93,Epping,5085913,31,20,6.93,43.03,50.77
94,Itumba,158876,66,21,9.73,-9.4,68.83
95,Harlem,4158091,66,75,6.93,26.74,84.9
96,Montjoire,2992347,87,40,8.05,43.77,50.92
97,Pyatigorsk,503550,46,0,4.47,44.05,53.24
98,Charron,3026480,67,86,11.41,46.29,54.27
99,Salsacate,3838237,59,79,5.99,-31.32,66.99
100,Walpersbach,2761944,81,75,6.93,47.72,47.32
101,Pokrovka,2017838,63,100,10.07,43.95,28.22
102,Morozovskiy,700754,87,75,11.18,48.65,59.0
103,Ansião,8010543,100,75,6.93,39.93,59.68
104,Knobelsdorf,2887133,81,75,6.93,51.08,45.52
105,Vizela,2732240,100,75,12.75,41.39,56.5
106,Zhongyun,1550035,74,93,3.58,34.65,53.29
107,Mecklenburg County,4478884,31,20,5.82,35.27,63.97
108,Estialescq,3019540,87,90,4.18,43.22,52.95
109,Dan Sadau,2345213,27,0,5.28,11.3,80.28
110,Ridgewood,5103269,34,1,10.29,40.98,52.95
111,Huntington,4921725,34,40,11.41,40.88,49.69
112,Bollberg,6550348,87,75,6.93,50.88,45.45
113,Llansannan,2643953,93,40,4.7,53.18,43.27
114,Urigoiti,3107214,87,75,4.7,43.09,53.76
115,Gordon County,4197608,48,1,5.14,34.5,66.38
116,Rumst,2787522,93,75,2.24,51.08,47.84
117,Almazul,3130310,78,13,1.01,41.57,43.45
118,Waddinxveen,2745096,93,75,4.7,52.05,46.76
119,Hoviksnas,2704662,74,75,4.7,58.03,32.45
120,Petaẖ Tiqwa,293918,47,11,2.24,32.09,73.29
121,Castroregio,2525071,93,75,5.82,39.99,60.62
122,Enzersfeld,7872903,81,75,6.93,48.36,46.98
123,Krieglach,2773447,93,75,2.24,47.53,46.92
124,Busenhausen,6553373,93,75,1.12,50.72,45.32
125,Kangping,2036325,40,0,6.49,42.74,29.57
126,Solferino,3166427,87,75,6.93,45.37,49.78
127,Infesta,2738700,100,75,12.75,41.2,56.61
128,Starkovo,488926,93,75,4.47,55.55,49.28
129,Longueville,2997653,93,85,6.93,48.52,48.34
130,Joliette,5987650,38,40,31.09,46.02,39.02
131,Jupiá,3459447,70,99,6.35,-26.4,78.08
132,Irsta,2703525,68,100,11.41,59.7,30.65
133,Pohbango,1630962,73,67,5.91,-6.64,76.73
134,Heffingen,2960481,93,75,9.17,49.76,46.6
135,San Garcia de Ingelmos,3110612,76,75,10.29,40.77,47.95
136,Castro Marim,8011983,48,75,14.99,37.23,66.07
137,Karvia,653812,92,96,6.29,62.2,15.8
138,Altenmünster,6557128,87,90,3.36,48.47,43.23
139,Newport,5223593,37,20,14.99,41.49,51.71
140,Alexandreia,736929,82,20,2.24,40.63,63.09
141,Al Maalla,73422,58,0,6.64,12.79,81.63
142,Andreyevka,581932,93,75,4.47,55.22,48.49
143,Osse,2989122,81,81,9.17,48.06,51.12
144,Bensenville,4884509,43,75,16.11,41.95,50.86
145,Casalarreina,3126107,71,40,4.7,42.55,52.39
146,Oberrod,2859273,93,100,8.05,50.58,47.03
147,Glandore,2964120,81,20,12.75,51.57,43.48
148,Angostura,4018499,59,100,3.0,25.37,85.05
149,Altstatten,2661766,66,75,4.7,47.38,42.8
150,Tamalin,3516410,91,97,8.43,21.35,76.06
151,Welshofen,2811392,93,75,8.05,48.32,44.35
152,Pietrari,670862,91,100,1.99,45.1,54.01
